spx,spy,px,py,ang,spang
-0.4,0.02,0,0,0,0
-0.9,-.2,0,0,0,0
-0.9,-0.5,0,0,0,0
-0.9,-0.9,0,0,0,0
-1.2,-1.1,0,0,0,0
-1.7,-1.1,0,0,0,0
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,0.000000,0.000000,0.000000,-0.281203
-0.081000,0.001600,-0.001255,0.000000,0.044941,-0.281203
-0.081000,0.001600,-0.001255,0.000000,0.044941,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.081000,0.001600,-0.004076,-0.000002,0.000047,-0.281203
-0.122250,0.000600,-0.048703,-0.000002,-0.187962,1.388713
-0.122250,0.000600,-0.048703,-0.000002,-0.187962,1.388713
-0.122250,0.000600,-0.048703,-0.000002,-0.187962,1.388713
-0.122250,0.000600,-0.048703,-0.000002,-0.187962,1.388713
-0.122250,0.000600,-0.060463,0.000036,-0.277802,1.388713
-0.122250,0.000600,-0.060463,0.000036,-0.277802,1.388713
-0.164000,-0.001600,-0.073234,0.000098,-0.345139,3.016382
-0.164000,-0.001600,-0.073234,0.000098,-0.345139,3.016382
-0.164000,-0.001600,-0.085220,0.000170,-0.322695,3.016382
-0.164000,-0.001600,-0.085220,0.000170,-0.322695,3.016382
-0.164000,-0.001600,-0.096353,0.000233,-0.322695,3.016382
-0.164000,-0.001600,-0.096353,0.000233,-0.322695,3.016382
-0.164000,-0.001600,-0.096353,0.000233,-0.322695,3.016382
-0.164000,-0.001600,-0.096353,0.000233,0.036664,3.016382
-0.164000,-0.001600,-0.096353,0.000233,0.036664,3.016382
-0.164000,-0.001600,-0.096353,0.000233,0.036664,3.016382
-0.206250,-0.005000,-0.106727,0.000227,0.532016,4.600859
-0.206250,-0.005000,-0.106727,0.000227,0.532016,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.206250,-0.005000,-0.115894,0.000141,0.778923,4.600859
-0.249000,-0.009600,-0.150616,-0.000331,0.778923,6.141516
-0.249000,-0.009600,-0.150616,-0.000331,0.778923,6.141516
-0.249000,-0.009600,-0.150616,-0.000331,2.200047,6.141516
-0.249000,-0.009600,-0.150616,-0.000331,2.200047,6.141516
-0.249000,-0.009600,-0.159421,-0.000669,2.741010,6.141516
-0.249000,-0.009600,-0.159421,-0.000669,2.741010,6.141516
-0.249000,-0.009600,-0.159421,-0.000669,2.741010,6.141516
-0.249000,-0.009600,-0.159421,-0.000669,2.741010,6.141516
-0.249000,-0.009600,-0.168889,-0.001122,3.167402,6.141516
-0.249000,-0.009600,-0.168889,-0.001122,3.167402,6.141516
-0.249000,-0.009600,-0.177809,-0.001616,3.616387,6.141516
-0.249000,-0.009600,-0.177809,-0.001616,3.616387,6.141516
-0.292250,-0.015400,-0.186960,-0.002194,3.953160,7.638014
-0.292250,-0.015400,-0.186960,-0.002194,3.953160,7.638014
-0.292250,-0.015400,-0.196501,-0.002854,3.953160,7.638014
-0.292250,-0.015400,-0.196501,-0.002854,3.953160,7.638014
-0.292250,-0.015400,-0.196501,-0.002854,4.402288,7.638014
-0.292250,-0.015400,-0.196501,-0.002854,4.402288,7.638014
-0.292250,-0.015400,-0.206659,-0.003636,4.986038,7.638014
-0.292250,-0.015400,-0.206659,-0.003636,4.986038,7.638014
-0.292250,-0.015400,-0.216086,-0.004458,5.257123,7.638014
-0.292250,-0.015400,-0.216086,-0.004458,5.257123,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.292250,-0.015400,-0.225058,-0.005284,5.459126,7.638014
-0.336000,-0.022400,-0.248663,-0.007540,5.843652,9.090255
-0.336000,-0.022400,-0.248663,-0.007540,5.843652,9.090255
-0.336000,-0.022400,-0.248663,-0.007540,5.843652,9.090255
-0.336000,-0.022400,-0.248663,-0.007540,5.843652,9.090255
-0.336000,-0.022400,-0.257692,-0.008464,6.142775,9.090255
-0.336000,-0.022400,-0.257692,-0.008464,6.142775,9.090255
-0.336000,-0.022400,-0.257692,-0.008464,6.142775,9.090255
-0.336000,-0.022400,-0.257692,-0.008464,6.142775,9.090255
-0.336000,-0.022400,-0.266262,-0.009386,6.277453,9.090255
-0.336000,-0.022400,-0.266262,-0.009386,6.277453,9.090255
-0.336000,-0.022400,-0.266262,-0.009386,6.277453,9.090255
-0.336000,-0.022400,-0.266262,-0.009386,6.277453,9.090255
-0.380250,-0.030600,-0.274128,-0.010251,6.389693,10.498404
-0.380250,-0.030600,-0.274128,-0.010251,6.389693,10.498404
-0.380250,-0.030600,-0.282691,-0.011210,6.524329,10.498404
-0.380250,-0.030600,-0.282691,-0.011210,6.524329,10.498404
-0.380250,-0.030600,-0.291256,-0.012190,6.479424,10.498404
-0.380250,-0.030600,-0.291256,-0.012190,6.479424,10.498404
-0.380250,-0.030600,-0.300045,-0.013188,6.479424,10.498404
