spx,spy,px,py,ang,spang
-2.159452,0.195156,0,0,0,0
-2.619512,0.105656,0,0,0,0
-2.959867,-0.193973,0,0,0,0
-3.339821,-0.440236,0,0,0,0
-3.602406,-0.805840,0,0,0,0
-4.049223,-0.862782,0,0,0,0
-3.957318,-0.415634,0,0,0,0
-4.114445,0.164606,0,0,0,0
-4.050261,0.611377,0,0,0,0
-3.906441,1.039534,0,0,0,0
-4.030495,1.472195,0,0,0,0
-0.394268,0.025918,-0.002873,0.001913,0.130101,-3.670768
-0.394268,0.025918,-0.002873,0.001913,0.130101,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,0.002108,0.002600,0.100008,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.394268,0.025918,-0.000047,0.001713,0.296651,-3.670768
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.256354,0.018657,-10.249089,-4.014387
-0.577783,0.038797,-0.273373,0.039891,-10.249089,-4.014387
-0.577783,0.038797,-0.273373,0.039891,-6.588052,-4.014387
-0.577783,0.038797,-0.273373,0.039891,-6.588052,-4.014387
-0.577783,0.038797,-0.273373,0.039891,-6.588052,-4.014387
-0.577783,0.038797,-0.273373,0.039891,-6.588052,-4.014387
-0.577783,0.038797,-0.259556,0.052498,-6.588052,-4.014387
-0.577783,0.038797,-0.259556,0.052498,-5.878118,-4.014387
-0.577783,0.038797,-0.259556,0.052498,-5.878118,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-5.878118,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-4.917484,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-4.917484,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-4.917484,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-4.917484,-4.014387
-0.577783,0.038797,-0.255149,0.056837,-4.917484,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.266212,0.059930,-3.480739,-4.014387
-0.577783,0.038797,-0.301660,0.065921,-3.480739,-4.389502
-0.577783,0.038797,-0.301660,0.065921,-3.480739,-4.389502
-0.577783,0.038797,-0.301660,0.065921,-4.186805,-4.389502
-0.577783,0.038797,-0.301660,0.065921,-4.186805,-4.389502
-0.577783,0.038797,-0.301660,0.065921,-4.186805,-4.389502
-0.577783,0.038797,-0.301660,0.065921,-4.186805,-4.389502
-0.577783,0.038797,-0.323277,0.064101,-4.656252,-4.389502
-0.577783,0.038797,-0.323277,0.064101,-4.656252,-4.389502
-0.577783,0.038797,-0.323277,0.064101,-4.656252,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.656252,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.333135,0.065521,-4.867527,-4.389502
-0.753175,0.052260,-0.397430,0.072551,-4.867527,-4.389502
-0.753175,0.052260,-0.397430,0.072551,-3.622539,-4.389502
-0.753175,0.052260,-0.397430,0.072551,-3.622539,-4.389502
-0.753175,0.052260,-0.406502,0.073125,-3.622539,-4.389502
-0.753175,0.052260,-0.406502,0.073125,-3.398042,-4.389502
-0.753175,0.052260,-0.406502,0.073125,-3.398042,-4.389502
-0.753175,0.052260,-0.413165,0.074519,-3.398042,-4.389502
-0.753175,0.052260,-0.413165,0.074519,-3.476852,-4.389502
