pobx,poby,px,py,ang,angr
-2.041066,0.116090,-0.088918,0.000300,-4.132494,0.738017
-2.454874,0.347167,-0.614397,0.007071,-7.076239,-3.393153
-2.861641,0.145827,-0.901756,0.025238,0.616771,-4.137667
-3.094124,0.532903,-1.148191,0.049468,-6.549568,-7.402135
-3.244969,0.973860,-1.351966,0.078974,-16.420580,-8.881035
-3.339402,1.414651,-1.507033,0.104969,-24.825403,-10.729731
-3.624936,1.766481,-1.782499,0.160855,-27.557640,-13.513392
-3.887928,2.165645,-2.230984,0.288387,-27.076048,-21.490902
-4.275337,1.920091,-2.802041,0.565103,-11.517548,-31.087059
-4.593262,1.568345,-2.896080,0.622943,3.347240,-32.466824
-4.733614,1.130157,-2.956541,0.661714,18.559544,-33.326965
-5.037955,0.795581,-3.101424,0.758011,32.956516,-34.067928
-5.133889,0.353160,-3.235241,0.852724,52.121830,-37.380589
